Version: 1
Machine Type: VIVO simulator
Process Index: 0 Cumulative Reps: 8 Template Name: Gilbert_Neutral.wvp

Acquisition Rate: 100 Waveform Frequency:  0.040
Time Stamp: 3 12, 2020 -- 16: 18: 38: 

Fx	Fy	Fz	Mx	My	Mz	X mm	Y mm	Z mm	Xdeg	Ydeg	Zdeg	X Wf	Y Wf	Z Wf	XaWf	YaWf	ZaWf	X Er	Y Er	Z Er	XaEr	YaEr	ZaEr	FxCs	FyCs	FzCs	MxCs	MyCs	MzCs	FxCp	FyCp	FzCp	MxCp	MyCp	MzCp	FxRw	FyRw	FzRw	CntA	CntB	FxSm	FySm	FzSm	MxSm	MySm	MzSm
N	N	N	N-m	N-m	N-m	mm	mm	mm	deg	deg	deg	N	N	N	deg	N-m	N-m	N	N	N	deg	N-m	N-m	N	N	N	N-m	N-m	N-m	mm	mm	mm	deg	deg	deg	N	N	N	NA	NA	N	N	N	N-m	N-m	N-m
-1.4192	 0.6261	-8.8517	 0.1437	-0.0529	 0.0508	 0.1211	-0.4171	 0.2082	-0.0914	-0.7306	-0.8474	 0.0000	 0.0000	-10.0000	 0.0000	 0.0000	 0.0000	 1.4192	-0.6261	-1.1483	 0.0914	 0.0529	-0.0508	-0.0000	-0.0000	 0.0000	 0.0000	-0.0000	-0.0000	 0.0000	 0.0000	 0.0000	 0.0000	 0.0000	 0.0000	35.0431	36.7656	38947.2115	 0.0004	 0.0000	-1.4192	 0.6261	-8.8517	 0.1437	-0.0529	 0.0508
-0.4141	 0.3796	-10.8058	 0.0462	 0.3149	 0.0040	 0.1235	-0.4119	 0.2099	-0.1157	-0.7409	-0.8666	 0.0000	 0.0000	-10.0000	 0.0000	 0.0000	 0.0000	 0.4141	-0.3796	 0.8058	 0.1157	-0.3149	-0.0040	-0.0000	-0.0000	 0.0000	 0.0000	-0.0000	-0.0000	 0.0000	 0.0000	 0.0000	 0.0000	 0.0000	 0.0000	35.0437	36.7667	38947.1906	 0.0008	 0.0000	-0.4141	 0.3796	-10.8058	 0.0462	 0.3149	 0.0040
-0.6538	 0.1331	-10.8204	 0.1317	 0.3028	-0.0300	 0.1221	-0.4194	 0.1980	-0.1274	-0.7434	-0.8550	 0.0000	 0.0000	-10.0000	 0.0000	 0.0000	 0.0000	 0.6538	-0.1331	 0.8204	 0.1274	-0.3028	 0.0300	-0.0000	-0.0000	 0.0000	 0.0000	-0.0000	-0.0000	 0.0000	 0.0000	 0.0000	 0.0000	 0.0000	 0.0000	35.0428	36.7665	38946.1897	 0.0012	 0.0000	-0.6538	 0.1331	-10.8204	 0.1317	 0.3028	-0.0300
-1.1990	 0.6626	-6.5653	 0.0600	 0.1124	 0.0304	 0.1286	-0.4114	 0.2056	-0.1030	-0.7464	-0.8577	 0.0000	 0.0000	-10.0000	 0.0000	 0.0000	 0.0000	 1.1990	-0.6626	-3.4347	 0.1030	-0.1124	-0.0304	-0.0000	-0.0000	 0.0000	 0.0000	-0.0000	-0.0000	 0.0000	 0.0000	 0.0000	 0.0000	 0.0000	 0.0000	35.0437	36.7671	38945.8849	 0.0016	 0.0000	-1.1990	 0.6626	-6.5653	 0.0600	 0.1124	 0.0304
-1.6076	 0.0412	-9.6972	 0.2728	-0.0646	 0.0271	 0.1399	-0.4159	 0.2005	-0.0894	-0.7554	-0.8661	 0.0000	 0.0000	-10.0000	 0.0000	 0.0000	 0.0000	 1.6076	-0.0412	-0.3028	 0.0894	 0.0646	-0.0271	-0.0000	-0.0000	 0.0000	 0.0000	-0.0000	-0.0000	 0.0000	 0.0000	 0.0000	 0.0000	 0.0000	 0.0000	35.0445	36.7668	38946.2865	 0.0020	 0.0000	-1.6076	 0.0412	-9.6972	 0.2728	-0.0646	 0.0271
-5.3121	 1.5368	 3.8519	 0.0593	-1.2007	 0.1736	 0.1428	-0.4234	 0.2026	-0.0748	-0.7573	-0.8715	 0.0000	 0.0000	-10.0000	 0.0000	 0.0000	 0.0000	 5.3121	-1.5368	-13.8519	 0.0748	 1.2007	-0.1736	-0.0000	-0.0000	 0.0000	 0.0000	-0.0000	-0.0000	 0.0000	 0.0000	 0.0000	 0.0000	 0.0000	 0.0000	35.0444	36.7671	38945.8685	 0.0024	 0.0000	-5.3121	 1.5368	 3.8519	 0.0593	-1.2007	 0.1736
-1.5896	-0.3191	-7.5934	 0.3020	-0.0373	 0.0269	 0.1430	-0.4142	 0.1982	-0.1143	-0.7596	-0.8876	 0.0000	 0.0000	-10.0000	 0.0000	 0.0000	 0.0000	 1.5896	 0.3191	-2.4066	 0.1143	 0.0373	-0.0269	-0.0000	-0.0000	 0.0000	 0.0000	-0.0000	-0.0000	 0.0000	 0.0000	 0.0000	 0.0000	 0.0000	 0.0000	35.0451	36.7674	38946.0661	 0.0028	 0.0000	-1.5896	-0.3191	-7.5934	 0.3020	-0.0373	 0.0269
-0.9773	 0.6101	-8.7469	 0.1045	 0.1404	 0.0177	 0.1540	-0.4043	 0.2045	-0.0772	-0.7695	-0.8736	 0.0000	 0.0000	-10.0000	 0.0000	 0.0000	 0.0000	 0.9773	-0.6101	-1.2531	 0.0772	-0.1404	-0.0177	-0.0000	-0.0000	 0.0000	 0.0000	-0.0000	-0.0000	 0.0000	 0.0000	 0.0000	 0.0000	 0.0000	 0.0000	35.0452	36.7664	38946.2991	 0.0032	 0.0000	-0.9773	 0.6101	-8.7469	 0.1045	 0.1404	 0.0177
-0.2703	-0.2134	-10.6641	 0.2834	 0.3964	 0.0031	 0.1424	-0.3954	 0.1937	-0.1114	-0.7640	-0.9081	 0.0000	 0.0000	-10.0000	 0.0000	 0.0000	 0.0000	 0.2703	 0.2134	 0.6641	 0.1114	-0.3964	-0.0031	-0.0000	-0.0000	 0.0000	 0.0000	-0.0000	-0.0000	 0.0000	 0.0000	 0.0000	 0.0000	 0.0000	 0.0000	35.0453	36.7660	38946.5769	 0.0036	 0.0000	-0.2703	-0.2134	-10.6641	 0.2834	 0.3964	 0.0031
